frame,x,dx_home,PheroAAlong,PheroAFront,Carrying,CarryingFood,crop_cells,spoil,heading,Energy,Crowding,AtNest,FoodAdjacent,Stillness,h0,h1,PheroBAlong,PheroBFront,h2,h3,p_move,p_tumble,trail_term,move_presquash,drop_urge,MoistureGrad,SurfaceCurvature
1,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362,0.00000,0.19375,0.00000
2,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362,0.00000,0.17496,0.00000
3,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362,0.00000,0.16037,0.00000
4,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362,0.00000,0.14888,0.00000
5,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362,0.00000,0.13968,0.00000
6,85,-1,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645,0.00000,0.13223,0.00000
7,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645,0.00000,0.12610,0.00000
8,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645,0.00000,0.12100,0.00000
9,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645,0.00000,0.11672,0.00000
10,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645,0.00000,0.11308,0.00000
11,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645,0.00000,0.10996,0.00000
12,86,-1,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07099,0.06792,0.48077,0.06897,0.77319,0.00000,0.00000,1.20448,0.00000,0.10727,0.00000
13,86,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07099,0.06792,0.48077,0.06897,0.77319,0.00000,0.00000,1.20448,0.00000,0.10493,0.00000
14,86,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07099,0.06792,0.48077,0.06897,0.77319,0.00000,0.00000,1.20448,0.00000,0.10287,0.00000
15,86,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07099,0.06792,0.48077,0.06897,0.77319,0.00000,0.00000,1.20448,0.00000,0.10107,0.00000
16,86,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07099,0.06792,0.48077,0.06897,0.77319,0.00000,0.00000,1.20448,0.00000,0.09946,0.00000
17,86,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07099,0.06792,0.48077,0.06897,0.77319,0.00000,0.00000,1.20448,0.00000,0.09804,0.00000
18,87,-1,0.00000,0.00000,0.0000,0.0000,0,0,1,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94385,0.00000,-0.83774,0.86040,0.09861,0.00000,0.00000,-4.07035,0.00000,0.11611,0.41667
19,87,0,0.00000,0.00000,0.0000,0.0000,0,0,1,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94385,0.00000,-0.83774,0.86040,0.09861,0.00000,0.00000,-4.07035,0.00000,0.11474,0.41667
20,87,0,0.00000,0.00000,0.0000,0.0000,0,0,1,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94385,0.00000,-0.83774,0.86040,0.09861,0.00000,0.00000,-4.07035,0.00000,0.11350,0.41667
21,87,0,0.00000,0.00000,0.0000,0.0000,0,0,1,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94385,0.00000,-0.83774,0.86040,0.09861,0.00000,0.00000,-4.07035,0.00000,0.11238,0.41667
22,87,0,0.00000,0.00000,0.0000,0.0000,0,0,1,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94385,0.00000,-0.83774,0.86040,0.09861,0.00000,0.00000,-4.07035,0.00000,0.11136,0.41667
23,87,0,0.00000,0.00000,0.0000,0.0000,0,0,1,1.0000,0.2500,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94385,0.00000,-0.83774,0.86040,0.09861,0.00000,0.00000,-4.07035,0.00000,0.11044,0.41667
24,87,0,0.00000,0.00000,0.0000,0.0000,0,0,5,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94182,0.00000,-0.83742,0.86016,0.09938,0.00000,0.00000,-4.03141,0.00000,0.10960,0.41667
25,87,0,0.00000,0.00000,0.0000,0.0000,0,0,5,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94182,0.00000,-0.83742,0.86016,0.09938,0.00000,0.00000,-4.03141,0.00000,0.10883,0.41667
26,87,0,0.00000,0.00000,0.0000,0.0000,0,0,5,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94182,0.00000,-0.83742,0.86016,0.09938,0.00000,0.00000,-4.03141,0.00000,0.10812,0.41667
27,87,0,0.00000,0.00000,0.0000,0.0000,0,0,5,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,-0.94182,0.00000,-0.83742,0.86016,0.09938,0.00000,0.00000,-4.03141,0.00000,0.10748,0.41667
