frame,x,dx_home,PheroAAlong,PheroAFront,Carrying,CarryingFood,crop_cells,spoil,heading,Energy,Crowding,AtNest,FoodAdjacent,Stillness,h0,h1,PheroBAlong,PheroBFront,h2,h3,p_move,p_tumble,trail_term,move_presquash
1,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.97847,0.97805,0.60034,0.00000,0.00000,0.25106
2,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.97847,0.97805,0.60034,0.00000,0.00000,0.25106
3,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.97847,0.97805,0.60034,0.00000,0.00000,0.25106
4,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.97847,0.97805,0.60034,0.00000,0.00000,0.25106
5,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.97847,0.97805,0.60034,0.00000,0.00000,0.25106
6,85,-1,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.97847,0.97805,0.58798,0.00000,0.00000,0.21354
7,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.97847,0.97805,0.58798,0.00000,0.00000,0.21354
8,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.97847,0.97805,0.58798,0.00000,0.00000,0.21354
9,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.97847,0.97805,0.58798,0.00000,0.00000,0.21354
10,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.97847,0.97805,0.58798,0.00000,0.00000,0.21354
11,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.97847,0.97805,0.58798,0.00000,0.00000,0.21354
12,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58799,0.00000,0.00000,0.21357
13,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58799,0.00000,0.00000,0.21357
14,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58799,0.00000,0.00000,0.21357
15,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58799,0.00000,0.00000,0.21357
16,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58799,0.00000,0.00000,0.21357
17,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58799,0.00000,0.00000,0.21357
18,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0001,-0.97826,-0.97826,0.07272,0.06636,0.97847,0.97805,0.58803,0.00000,0.00000,0.21369
