frame,x,dx_home,PheroAAlong,PheroAFront,Carrying,CarryingFood,crop_cells,spoil,heading,Energy,Crowding,AtNest,FoodAdjacent,Stillness,h0,h1,PheroBAlong,PheroBFront,h2,h3,p_move,p_tumble,trail_term,move_presquash
1,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362
2,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362
3,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362
4,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362
5,84,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.0000,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07470,0.07291,0.48670,0.04926,0.78665,0.00000,0.00000,1.34362
6,85,-1,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645
7,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645
8,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645
9,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645
10,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645
11,85,0,0.00000,0.00000,0.0000,0.0000,0,0,0,1.0000,0.1250,0.0000,0.0000,0.0000,-0.97826,-0.97826,0.07299,0.07465,0.48399,0.05842,0.78036,0.00000,0.00000,1.27645
