scenes: scene=s1 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped

S1 home 40 east (facing home)
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1        46       46   84.8%    4.3%   10.9%    0.0%      0      0         -
     2        46       46   84.8%    8.7%    6.5%    0.0%      0      0         -
     3        46       46   84.8%    4.3%   10.9%    0.0%      0      0         -
     4        51       51   76.5%   15.7%    7.8%    0.0%      0      0         -
     5        47       47   83.0%    6.4%   10.6%    0.0%      0      0         -
     6        56       56   69.6%   19.6%   10.7%    0.0%      0      0         -
     7        51       51   76.5%   13.7%    9.8%    0.0%      0      0         -
     8        47       47   83.0%   10.6%    6.4%    0.0%      0      0         -
     9        51       51   76.5%   11.8%   11.8%    0.0%      0      0         -
    10        53       53   73.6%   15.1%   11.3%    0.0%      0      0         -
    11        45       45   86.7%    6.7%    6.7%    0.0%      0      0         -
    12        46       46   84.8%    8.7%    6.5%    0.0%      0      0         -
    13        48       48   81.2%    8.3%   10.4%    0.0%      0      0         -
    14        57       57   68.4%   19.3%   12.3%    0.0%      0      0         -
    15        57       57   68.4%   15.8%   15.8%    0.0%      0      0         -
    16        46       46   84.8%    6.5%    8.7%    0.0%      0      0         -
    17        60       60   65.0%   16.7%   18.3%    0.0%      0      0         -
    18        47       47   83.0%   12.8%    4.3%    0.0%      0      0         -
    19        55       55   70.9%   10.9%   18.2%    0.0%      0      0         -
    20        54       54   72.2%   16.7%   11.1%    0.0%      0      0         -
    21        61       61   63.9%   19.7%   16.4%    0.0%      0      0         -
    22        51       51   76.5%   13.7%    9.8%    0.0%      0      0         -
    23        54       54   72.2%   22.2%    5.6%    0.0%      0      0         -
    24        53       53   73.6%   17.0%    9.4%    0.0%      0      0         -
  S1 home 40 east (facing home): arrived 24 of 24 (median 51 decisions) | step 76.2%  tumble 13.1%  idle 10.7%  blocked 0.0% | facing home 100.0% (p_move 0.76), away 0.0% (p_move NaN) | re-roll fired 161, 0 of them pointing away

S1 home 40 west (facing away)
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1        47       47   83.0%    6.4%   10.6%    0.0%      0      0         -
     2        48       48   81.2%   10.4%    8.3%    0.0%      0      0         -
     3        48       48   81.2%    8.3%   10.4%    0.0%      0      0         -
     4        55       55   70.9%   16.4%   12.7%    0.0%      0      0         -
     5        49       49   79.6%    8.2%   12.2%    0.0%      0      0         -
     6        59       59   66.1%   20.3%   13.6%    0.0%      0      0         -
     7        51       51   76.5%   13.7%    9.8%    0.0%      0      0         -
     8        49       49   79.6%   12.2%    8.2%    0.0%      0      0         -
     9        53       53   73.6%   13.2%   13.2%    0.0%      0      0         -
    10        54       54   72.2%   16.7%   11.1%    0.0%      0      0         -
    11        46       46   84.8%    6.5%    8.7%    0.0%      0      0         -
    12        47       47   83.0%   10.6%    6.4%    0.0%      0      0         -
    13        49       49   79.6%   10.2%   10.2%    0.0%      0      0         -
    14        57       57   68.4%   19.3%   12.3%    0.0%      0      0         -
    15        58       58   67.2%   15.5%   17.2%    0.0%      0      0         -
    16        47       47   83.0%    6.4%   10.6%    0.0%      0      0         -
    17        61       61   63.9%   18.0%   18.0%    0.0%      0      0         -
    18        49       49   79.6%   14.3%    6.1%    0.0%      0      0         -
    19        55       55   70.9%   10.9%   18.2%    0.0%      0      0         -
    20        55       55   70.9%   18.2%   10.9%    0.0%      0      0         -
    21        62       62   62.9%   21.0%   16.1%    0.0%      0      0         -
    22        52       52   75.0%   15.4%    9.6%    0.0%      0      0         -
    23        54       54   72.2%   22.2%    5.6%    0.0%      0      0         -
    24        53       53   73.6%   17.0%    9.4%    0.0%      0      0         -
  S1 home 40 west (facing away): arrived 24 of 24 (median 53 decisions) | step 74.4%  tumble 14.1%  idle 11.4%  blocked 0.0% | facing home 97.1% (p_move 0.76), away 2.9% (p_move 0.00) | re-roll fired 178, 0 of them pointing away
