scenes: scene=s2 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped

S2 wall of height 1
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1        60       60   81.7%    6.7%   11.7%    0.0%      3      7      0.00
     2        57       57   70.2%   15.8%   14.0%    0.0%      2     15      0.00
     3        54       54   75.9%   11.1%   13.0%    0.0%      2     12      0.00
     4        55       55   70.9%   16.4%   12.7%    0.0%      1      8      0.00
     5        63       63   65.1%   17.5%   17.5%    0.0%      2     16      0.00
     6        59       59   66.1%   20.3%   13.6%    0.0%      1      8      0.00
     7        58       58   70.7%   15.5%   13.8%    0.0%      2     15      0.00
     8        68       68   63.2%   19.1%   17.6%    0.0%      3      8      0.00
     9        72       72   70.8%   13.9%   15.3%    0.0%      3      6      0.00
    10        62       62   69.4%   17.7%   12.9%    0.0%      3      8      0.00
    11      4000        -    0.6%   50.0%   49.5%    0.0%      3   3980      0.00
    12        54       54   77.8%   16.7%    5.6%    0.0%      3      7      0.00
    13        60       60   73.3%   13.3%   13.3%    0.0%      3      8      0.00
    14        63       63   68.3%   19.0%   12.7%    0.0%      3      6      0.00
    15      4000        -    0.6%   48.6%   50.8%    0.0%      3   3980      0.00
    16        48       48   83.3%    6.2%   10.4%    0.0%      1      5      0.00
    17        67       67   62.7%   19.4%   17.9%    0.0%      2     15      0.00
    18        51       51   80.4%   13.7%    5.9%    0.0%      2      9      0.00
    19        70       70   64.3%   14.3%   21.4%    0.0%      3     10      0.00
    20        64       64   67.2%   21.9%   10.9%    0.0%      3      8      0.00
    21        63       63   63.5%   20.6%   15.9%    0.0%      1      7      0.00
    22        52       52   75.0%   15.4%    9.6%    0.0%      1      6      0.00
    23        54       54   72.2%   22.2%    5.6%    0.0%      1      5      0.00
    24        53       53   73.6%   17.0%    9.4%    0.0%      1      6      0.00
  S2 wall of height 1: arrived 22 of 24 (median 60 decisions) | step 10.4%  tumble 44.6%  idle 44.9%  blocked 0.0% | facing home 13.6% (p_move 0.75), away 85.9% (p_move 0.00) | re-roll fired 4131, 3940 of them pointing away

S2 wall of height 2
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1        61       61   77.0%    8.2%   13.1%    1.6%      4     13      0.00
     2       580      580    7.6%   46.9%   45.3%    0.2%      4    535      0.00
     3        65       65   66.2%   15.4%   16.9%    1.5%      2     16      0.00
     4        66       66   66.7%   18.2%   13.6%    1.5%      4     11      0.00
     5        77       77   64.9%   14.3%   19.5%    1.3%      4     12      0.00
     6        67       67   65.7%   20.9%   11.9%    1.5%      4     15      0.00
     7        65       65   67.7%   15.4%   15.4%    1.5%      4     17      0.00
     8      4000        -    0.6%   49.5%   49.8%    0.0%      2   3978      0.00
     9        66       66   65.2%   13.6%   19.7%    1.5%      2     17      0.00
    10        65       65   66.2%   18.5%   13.8%    1.5%      2     18      0.00
    11        78       78   52.6%   19.2%   26.9%    1.3%      2     37      0.00
    12        58       58   72.4%   13.8%   12.1%    1.7%      2     12      0.00
    13        73       73   61.6%   16.4%   20.5%    1.4%      4     24      0.00
    14        71       71   64.8%   19.7%   14.1%    1.4%      4     10      0.00
    15        69       69   62.3%   15.9%   20.3%    1.4%      2     25      0.00
    16        70       70   64.3%   11.4%   22.9%    1.4%      4     12      0.00
    17      4000        -    0.6%   47.8%   51.6%    0.0%      2   3973      0.00
    18        79       79   67.1%   17.7%   13.9%    1.3%      4     13      0.00
    19        75       75   56.0%   13.3%   29.3%    1.3%      2     23      0.00
    20        64       64   67.2%   21.9%   10.9%    0.0%      4      7      0.00
    21        81       81   53.1%   24.7%   21.0%    1.2%      3     28      0.00
    22        77       77   54.5%   24.7%   19.5%    1.3%      2     29      0.00
    23       356      356   12.4%   51.4%   36.0%    0.3%      4    308      0.00
    24        68       68   63.2%   17.6%   17.6%    1.5%      2     11      0.00
  S2 wall of height 2: arrived 22 of 24 (median 70 decisions) | step 9.9%  tumble 44.4%  idle 45.5%  blocked 0.2% | facing home 13.0% (p_move 0.75), away 84.7% (p_move 0.00) | re-roll fired 4587, 4295 of them pointing away

S2 wall of height 3
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1        84       84   54.8%   20.2%   21.4%    3.6%      3     42      0.00
     2       124      124   37.9%   33.1%   27.4%    1.6%      3     82      0.00
     3       107      107   50.5%   21.5%   24.3%    3.7%      5     61      0.00
     4       105      105   47.6%   23.8%   26.7%    1.9%      3     55      0.00
     5        71       71   60.6%   19.7%   18.3%    1.4%      3     25      0.00
     6       110      110   50.9%   25.5%   20.9%    2.7%      5     44      0.00
     7        80       80   57.5%   16.2%   25.0%    1.2%      3     35      0.00
     8        72       72   62.5%   18.1%   18.1%    1.4%      4     31      0.00
     9       269      269   17.5%   39.0%   43.1%    0.4%      5    224      0.00
    10        64       64   64.1%   20.3%   14.1%    1.6%      3     19      0.00
    11        86       86   48.8%   20.9%   29.1%    1.2%      3     46      0.00
    12        99       99   52.5%   24.2%   20.2%    3.0%      3     51      0.00
    13       311      311   17.4%   35.7%   45.3%    1.6%      5    267      0.00
    14       425      425   12.5%   44.7%   42.1%    0.7%      3    381      0.00
    15        70       70   64.3%   14.3%   20.0%    1.4%      3     21      0.00
    16        87       87   52.9%   17.2%   28.7%    1.1%      3     29      0.00
    17        75       75   58.7%   21.3%   20.0%    0.0%      3     21      0.00
    18        96       96   53.1%   22.9%   20.8%    3.1%      5     33      0.00
    19       102      102   51.0%   17.6%   29.4%    2.0%      3     54      0.00
    20        84       84   52.4%   25.0%   21.4%    1.2%      3     32      0.00
    21       103      103   49.5%   21.4%   27.2%    1.9%      5     36      0.00
    22       279      279   17.2%   43.7%   38.7%    0.4%      5    238      0.00
    23       281      281   17.1%   48.8%   33.8%    0.4%      5    232      0.00
    24        79       79   59.5%   19.0%   20.3%    1.3%      5     12      0.00
  S2 wall of height 3: arrived 24 of 24 (median 99 decisions) | step 35.3%  tumble 31.7%  idle 31.7%  blocked 1.3% | facing home 41.7% (p_move 0.75), away 34.6% (p_move 0.00) | re-roll fired 1052, 538 of them pointing away

S2 wall of height 6
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1      4000        -   19.8%   37.1%   39.8%    3.2%      2   3979         -
     2      4000        -   19.5%   40.2%   37.6%    2.7%      2   3978         -
     3      4000        -   19.5%   37.4%   40.1%    3.0%      2   3978         -
     4      4000        -   18.9%   39.2%   38.8%    3.0%      2   3972         -
     5      4000        -   19.6%   37.8%   39.5%    3.2%      2   3979         -
     6      4000        -   18.9%   39.0%   39.2%    2.8%      2   3974         -
     7      4000        -   19.1%   38.7%   39.4%    2.9%      2   3976         -
     8      4000        -   19.0%   38.8%   39.4%    2.8%      2   3978         -
     9      4000        -   19.6%   38.9%   38.2%    3.3%      2   3972         -
    10      4000        -   18.9%   38.5%   39.6%    3.0%      2   3975         -
    11      4000        -   19.6%   38.8%   38.6%    3.0%      2   3980         -
    12      4000        -   19.4%   39.1%   38.4%    3.1%      2   3979         -
    13      4000        -   18.6%   38.2%   40.0%    3.1%      2   3976         -
    14      4000        -   19.6%   38.8%   38.3%    3.4%      2   3978         -
    15      4000        -   19.2%   38.0%   39.7%    3.1%      2   3980         -
    16      4000        -   19.0%   38.6%   40.0%    2.3%      2   3977         -
    17      4000        -   19.0%   37.5%   40.5%    2.9%      2   3973         -
    18      4000        -   19.5%   40.3%   37.4%    2.9%      2   3977         -
    19      4000        -   19.4%   38.6%   39.1%    2.9%      2   3977         -
    20      4000        -   20.1%   38.4%   38.6%    3.0%      2   3977         -
    21      4000        -   19.4%   39.9%   37.5%    3.3%      2   3969         -
    22      4000        -   20.2%   37.8%   38.7%    3.2%      2   3978         -
    23      4000        -   20.1%   39.4%   37.1%    3.4%      2   3973         -
    24      4000        -   20.4%   38.9%   37.4%    3.4%      2   3976         -
  S2 wall of height 6: arrived 0 of 24 (median - decisions) | step 19.4%  tumble 38.7%  idle 38.9%  blocked 3.0% | facing home 3.5% (p_move 0.76), away 2.4% (p_move 0.00) | re-roll fired 40025, 0 of them pointing away

S2 wall of height 12
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x
     1      4000        -   19.8%   37.1%   39.8%    3.2%      2   3979         -
     2      4000        -   19.5%   40.2%   37.6%    2.7%      2   3978         -
     3      4000        -   19.5%   37.4%   40.1%    3.0%      2   3978         -
     4      4000        -   18.9%   39.2%   38.8%    3.0%      2   3972         -
     5      4000        -   19.6%   37.8%   39.5%    3.2%      2   3979         -
