# S2 per-decision dumps, 2026-09-23: the stuck runs, read decision by decision

## wall height 12, seed 1, decisions 3000-3023
    dump, seed 1: decision frame head -> head_after heading -> after | usable | home_aligned p_move stillness | outcome homeward home_cos
     3000  18006 (181, 86) -> (181, 86) S -> S | N|S|SE | +0.048 0.282 0.000 | RollFailedTumbled Fired +0.048
     3001  18012 (181, 86) -> (181, 87) S -> S | N|S|SE | +0.048 0.282 0.000 | Stepped NotAsked NaN
     3002  18018 (181, 87) -> (181, 87) S -> N | E|N | +0.000 0.200 0.000 | BlockedTumbled Fired -0.000
     3003  18024 (181, 87) -> (181, 87) N -> N | E|N | -0.000 0.200 0.000 | RollFailedIdle NotAsked NaN
     3004  18030 (181, 87) -> (181, 87) N -> N | E|N | -0.000 0.200 0.000 | RollFailedTumbled Fired -0.000
     3005  18036 (181, 87) -> (181, 86) N -> N | E|N | -0.000 0.200 0.000 | Stepped NotAsked NaN
     3006  18042 (181, 86) -> (181, 86) N -> N | N|S|SE | -0.048 0.097 0.000 | RollFailedIdle NotAsked NaN
     3007  18048 (181, 86) -> (181, 86) N -> N | N|S|SE | -0.048 0.097 0.000 | RollFailedIdle NotAsked NaN
     3008  18054 (181, 86) -> (181, 86) N -> S | N|S|SE | -0.048 0.097 0.000 | RollFailedTumbled Fired +0.048
     3009  18060 (181, 86) -> (181, 86) S -> S | N|S|SE | +0.048 0.282 0.000 | RollFailedIdle NotAsked NaN
     3010  18066 (181, 86) -> (181, 86) S -> S | N|S|SE | +0.048 0.282 0.000 | RollFailedIdle NotAsked NaN
     3011  18072 (181, 86) -> (181, 86) S -> S | N|S|SE | +0.048 0.282 0.001 | RollFailedIdle NotAsked NaN
     3012  18078 (181, 86) -> (182, 87) S -> SE | N|S|SE | +0.048 0.283 0.001 | Stepped NotAsked NaN
     3013  18084 (182, 87) -> (182, 87) SE -> W | E|NW|W | -0.707 0.000 0.000 | RollFailedTumbled Fired +1.000
     3014  18090 (182, 87) -> (181, 87) W -> W | E|NW|W | +1.000 0.765 0.000 | Stepped NotAsked NaN
     3015  18096 (181, 87) -> (181, 87) W -> N | E|N | +1.000 0.765 0.000 | BlockedTumbled Fired -0.000
     3016  18102 (181, 87) -> (181, 87) N -> N | E|N | -0.000 0.200 0.000 | RollFailedIdle NotAsked NaN
     3017  18108 (181, 87) -> (181, 87) N -> N | E|N | -0.000 0.200 0.000 | RollFailedIdle NotAsked NaN
     3018  18114 (181, 87) -> (181, 86) N -> N | E|N | -0.000 0.200 0.000 | Stepped NotAsked NaN
     3019  18120 (181, 86) -> (181, 86) N -> N | N|S|SE | -0.048 0.097 0.000 | RollFailedIdle NotAsked NaN
