scenes: scene=s4 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=off

S4: an empty ant at a fork, trail B down one branch (12000 frames; prediction in this file's header)
  seed decisions        first    main   level      up    along B  longest still
     1      2000            -  100.0%    0.0%    0.0%          -         9 Main
     2      2000     Level@42   57.8%   20.1%   22.1%          -         9 Up
     3      2000    Level@173   27.6%   62.5%    9.8%          -        17 Main
     4      2000     Level@63   12.1%   52.2%   35.7%          -        10 Level
     5      2000     Level@54   59.1%   40.9%    0.0%          -         8 Main
     6      2000     Level@72    8.3%   86.8%    4.8%          -        12 Level
     7      2000    Level@104   87.0%   13.0%    0.0%          -        10 Main
     8      2000        Up@37   94.3%    4.5%    1.2%          -        10 Main
     9      2000     Level@47   42.3%   36.2%   21.4%          -         8 Main
    10      2000     Level@70    3.4%   96.7%    0.0%          -         8 Level
    11      2000    Level@111   84.5%   13.9%    1.6%          -        11 Main
    12      2000    Level@367   84.2%    6.3%    9.4%          -        10 Main
    13      2000     Level@92    8.7%   91.3%    0.0%          -        10 Level
    14      2000     Level@74   31.6%   61.5%    6.9%          -         8 Level
    15      2000      Up@1563   79.8%   18.3%    1.9%          -         8 Main
    16      2000       Up@761   72.5%    0.7%   26.9%          -        12 Main
    17      2000      Up@1345   74.0%    8.4%   17.6%          -         9 Main
    18      2000       Up@392   83.2%    0.1%   16.6%          -        11 Main
    19      2000    Level@164   69.8%   29.5%    0.7%          -         9 Main
    20      2000    Level@113   18.4%   81.0%    0.6%          -         8 Level
    21      2000    Level@190   99.0%    1.1%    0.0%          -         9 Main
    22      2000       Up@142   23.3%   48.5%   28.1%          -        10 Level
    23      2000     Level@65   33.0%   39.2%   27.8%          -        11 Up
    24      2000        Up@55   94.5%    0.1%    5.3%          -         9 Main
  S4 trail=none: first branch level 16 / up 7 / neither 1 (median decision 104) | time main 56.2%  level 33.9%  up 9.9% | trail-B reading on the trailed branch - | longest stand-still median 10, max 17; runs standing 100+ decisions on a branch 0
  seed decisions        first    main   level      up    along B  longest still
     1      2000       Up@129    6.3%    0.0%   93.7%          -        14 Up
     2      2000     Level@40    1.9%   98.1%    0.0%    -0.1512        40 Level
     3      2000        Up@49    2.4%    0.0%   97.7%          -        19 Up
     4      2000     Level@22    0.9%   99.1%    0.0%    -0.1458        37 Level
     5      2000     Level@19    0.8%   99.2%    0.0%    -0.1382        34 Level
     6      2000     Level@19    0.8%   99.2%    0.0%    -0.1468        32 Level
     7      2000     Level@24    1.1%   99.0%    0.0%    -0.1213        32 Level
     8      2000     Level@21    0.8%   99.2%    0.0%    -0.1229        32 Level
     9      2000     Level@24    1.0%   99.0%    0.0%    -0.1347        39 Level
    10      2000        Up@64    3.0%    0.0%   97.0%          -        18 Up
    11      2000     Level@22    1.0%   99.0%    0.0%    -0.1258        36 Level
    12      2000     Level@38    1.8%   98.2%    0.0%    -0.1321        53 Level
    13      2000     Level@19    0.8%   99.2%    0.0%    -0.1353        29 Level
    14      2000     Level@22    0.9%   99.0%    0.0%    -0.1379        47 Level
    15      2000     Level@30    1.4%   98.7%    0.0%    -0.1389        46 Level
    16      2000        Up@66    3.2%    0.0%   96.8%          -        28 Up
    17      2000     Level@60    2.9%   97.1%    0.0%    -0.1296        30 Level
    18      2000    Level@347   17.2%   82.8%    0.0%    -0.1215        41 Level
    19      2000       Up@143    7.0%    0.0%   93.0%          -        20 Up
    20      2000        Up@99    4.8%    0.0%   95.2%          -        13 Up
    21      2000    Level@103    5.0%   95.0%    0.0%    -0.1090        25 Level
    22      2000    Level@111    5.4%   94.6%    0.0%    -0.1506        38 Level
    23      2000     Level@49    2.4%   97.7%    0.0%    -0.1429        31 Level
    24      2000     Level@25    1.1%   98.9%    0.0%    -0.1346        28 Level
  S4 trail=level: first branch level 18 / up 6 / neither 0 (median decision 40) | time main 3.1%  level 73.0%  up 23.9% | trail-B reading on the trailed branch -0.1345 over 35034 decisions | longest stand-still median 32, max 53; runs standing 100+ decisions on a branch 0
  seed decisions        first    main   level      up    along B  longest still
     1      2000            -  100.0%    0.0%    0.0%          -      1871 Main
     2      2000            -  100.0%    0.0%    0.0%          -      1911 Main
