scenes: scene=s1 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=trail

S1 home 40 east (facing home)
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     2        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     3        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     4        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
     5        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     6        56       56   69.6%    0.0%   30.4%    0.0%      0      0         -       2
     7        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       3
     8        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     9        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
    10        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       2
    11        45       45   86.7%    0.0%   13.3%    0.0%      0      0         -       2
    12        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       1
    13        48       48   81.2%    0.0%   18.8%    0.0%      0      0         -       2
    14        57       57   68.4%    0.0%   31.6%    0.0%      0      0         -       7
    15        57       57   68.4%    0.0%   31.6%    0.0%      0      0         -       3
    16        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
    17        60       60   65.0%    0.0%   35.0%    0.0%      0      0         -       3
    18        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
    19        55       55   70.9%    0.0%   29.1%    0.0%      0      0         -       3
    20        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    21        61       61   63.9%    0.0%   36.1%    0.0%      0      0         -       5
    22        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
    23        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    24        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       3
  S1 home 40 east (facing home): arrived 24 of 24 (median 51 decisions) | step 76.2%  tumble 0.0%  idle 23.8%  blocked 0.0% | facing home 100.0% (p_move 0.76), away 0.0% (p_move NaN) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 936, 0 of them pointing away, patience fell to 1.000

S1 home 40 west (facing away)
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     2        48       48   85.4%    0.0%   14.6%    0.0%      0      0         -       2
     3        49       49   83.7%    0.0%   16.3%    0.0%      0      0         -       2
     4        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
     5        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     6        56       56   69.6%    0.0%   30.4%    0.0%      0      0         -       2
     7        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       3
     8        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     9        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
    10        55       55   74.5%    0.0%   25.5%    0.0%      0      0         -       2
    11        45       45   86.7%    0.0%   13.3%    0.0%      0      0         -       2
    12        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       1
    13        48       48   81.2%    0.0%   18.8%    0.0%      0      0         -       2
    14        57       57   68.4%    0.0%   31.6%    0.0%      0      0         -       7
    15        59       59   69.5%    0.0%   30.5%    0.0%      0      0         -       3
    16        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
    17        60       60   65.0%    0.0%   35.0%    0.0%      0      0         -       3
    18        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
    19        55       55   70.9%    0.0%   29.1%    0.0%      0      0         -       3
    20        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    21        61       61   63.9%    0.0%   36.1%    0.0%      0      0         -       5
    22        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
    23        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    24        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       3
  S1 home 40 west (facing away): arrived 24 of 24 (median 51 decisions) | step 76.3%  tumble 0.0%  idle 23.7%  blocked 0.0% | facing home 96.8% (p_move 0.76), away 3.2% (p_move 0.76) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 944, 4 of them pointing away, patience fell to 0.810
