scenes: scene=s2 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=trail

S2 wall of height 1
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        46       46   84.8%    0.0%   15.2%    0.0%      1      5      0.00       2
     2        48       48   85.4%    0.0%   14.6%    0.0%      1      6      0.00       2
     3        49       49   83.7%    0.0%   16.3%    0.0%      1      5      0.00       2
     4        51       51   76.5%    0.0%   23.5%    0.0%      1      7      0.00       2
     5        49       49   81.6%    0.0%   18.4%    0.0%      1      7      0.00       2
     6        56       56   69.6%    0.0%   30.4%    0.0%      1      8      0.00       2
     7        51       51   76.5%    0.0%   23.5%    0.0%      1      7      0.00       3
     8        47       47   83.0%    0.0%   17.0%    0.0%      1      5      0.00       2
     9        51       51   76.5%    0.0%   23.5%    0.0%      1      7      0.00       2
    10        55       55   74.5%    0.0%   25.5%    0.0%      1      6      0.00       2
    11        45       45   86.7%    0.0%   13.3%    0.0%      1      5      0.00       2
    12        47       47   85.1%    0.0%   14.9%    0.0%      1      7      0.00       1
    13        48       48   81.2%    0.0%   18.8%    0.0%      1      7      0.00       2
    14        57       57   68.4%    0.0%   31.6%    0.0%      1      5      0.00       7
    15        59       59   69.5%    0.0%   30.5%    0.0%      1      8      0.00       3
    16        46       46   84.8%    0.0%   15.2%    0.0%      1      5      0.00       2
    17        60       60   65.0%    0.0%   35.0%    0.0%      1      8      0.00       3
    18        47       47   83.0%    0.0%   17.0%    0.0%      1      6      0.00       2
    19        55       55   70.9%    0.0%   29.1%    0.0%      1      6      0.00       3
    20        55       55   72.7%    0.0%   27.3%    0.0%      1      6      0.00       2
    21        62       62   64.5%    0.0%   35.5%    0.0%      1      8      0.00       5
    22        51       51   76.5%    0.0%   23.5%    0.0%      1      6      0.00       2
    23        54       54   72.2%    0.0%   27.8%    0.0%      1      5      0.00       2
    24        53       53   73.6%    0.0%   26.4%    0.0%      1      6      0.00       3
  S2 wall of height 1: arrived 24 of 24 (median 51 decisions) | step 76.3%  tumble 0.0%  idle 23.7%  blocked 0.0% | facing home 96.4% (p_move 0.76), away 3.2% (p_move 0.76) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 948, 4 of them pointing away, patience fell to 0.810

S2 wall of height 2
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        48       48   85.4%    0.0%   14.6%    0.0%      2      8      0.00       2
     2        48       48   85.4%    0.0%   14.6%    0.0%      2      6      0.00       2
     3        50       50   84.0%    0.0%   16.0%    0.0%      2      6      0.00       2
     4        54       54   75.9%    0.0%   24.1%    0.0%      2     11      0.00       2
     5        50       50   82.0%    0.0%   18.0%    0.0%      2      8      0.00       2
     6        60       60   70.0%    0.0%   30.0%    0.0%      2     12      0.00       2
     7        54       54   77.8%    0.0%   22.2%    0.0%      2     10      0.00       3
     8        50       50   84.0%    0.0%   16.0%    0.0%      2     10      0.00       2
     9        52       52   76.9%    0.0%   23.1%    0.0%      2      8      0.00       2
    10        57       57   75.4%    0.0%   24.6%    0.0%      2      8      0.00       2
    11        47       47   87.2%    0.0%   12.8%    0.0%      2      7      0.00       2
    12        50       50   82.0%    0.0%   18.0%    0.0%      2      8      0.00       2
    13        51       51   80.4%    0.0%   19.6%    0.0%      2      9      0.00       2
    14        59       59   67.8%    0.0%   32.2%    0.0%      2      6      0.00       7
    15        64       64   67.2%    0.0%   32.8%    0.0%      2     15      0.00       3
    16        49       49   85.7%    0.0%   14.3%    0.0%      2      8      0.00       2
    17        60       60   65.0%    0.0%   35.0%    0.0%      2      8      0.00       3
    18        49       49   83.7%    0.0%   16.3%    0.0%      2     10      0.00       2
    19        60       60   70.0%    0.0%   30.0%    0.0%      2     10      0.00       3
    20        59       59   72.9%    0.0%   27.1%    0.0%      2      9      0.00       2
    21        65       65   64.6%    0.0%   35.4%    0.0%      2     10      0.00       5
    22        55       55   76.4%    0.0%   23.6%    0.0%      2     10      0.00       2
    23        55       55   72.7%    0.0%   27.3%    0.0%      2      6      0.00       2
    24        57       57   70.2%    0.0%   29.8%    0.0%      2      7      0.00       3
  S2 wall of height 2: arrived 24 of 24 (median 54 decisions) | step 76.1%  tumble 0.0%  idle 23.9%  blocked 0.0% | facing home 92.3% (p_move 0.76), away 3.1% (p_move 0.76) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 992, 7 of them pointing away, patience fell to 0.810

S2 wall of height 3
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        54       54   83.3%    0.0%   16.7%    0.0%      3     14      0.00       2
     2        56       56   82.1%    0.0%   17.9%    0.0%      3     14      0.00       3
     3        52       52   84.6%    0.0%   15.4%    0.0%      3      9      0.00       2
     4        55       55   76.4%    0.0%   23.6%    0.0%      3     13      0.00       2
     5        51       51   82.4%    0.0%   17.6%    0.0%      3      9      0.00       2
     6        61       61   70.5%    0.0%   29.5%    0.0%      3     13      0.00       2
     7        55       55   78.2%    0.0%   21.8%    0.0%      3     11      0.00       3
     8        53       53   83.0%    0.0%   17.0%    0.0%      3     13      0.00       2
     9        56       56   78.6%    0.0%   21.4%    0.0%      3     13      0.00       2
    10        59       59   76.3%    0.0%   23.7%    0.0%      3     11      0.00       2
    11        48       48   87.5%    0.0%   12.5%    0.0%      3      8      0.00       2
    12        52       52   82.7%    0.0%   17.3%    0.0%      3     10      0.00       2
    13        52       52   80.8%    0.0%   19.2%    0.0%      3     10      0.00       2
    14        63       63   68.3%    0.0%   31.7%    0.0%      3      9      0.00       7
    15        67       67   67.2%    0.0%   32.8%    0.0%      3     19      0.00       3
    16        50       50   86.0%    0.0%   14.0%    0.0%      3      9      0.00       2
    17        66       66   65.2%    0.0%   34.8%    0.0%      3     16      0.00       3
    18        50       50   84.0%    0.0%   16.0%    0.0%      3     11      0.00       2
    19        63       63   69.8%    0.0%   30.2%    0.0%      3     12      0.00       3
    20        59       59   72.9%    0.0%   27.1%    0.0%      3      9      0.00       2
    21        67       67   64.2%    0.0%   35.8%    0.0%      3     11      0.00       5
    22        56       56   76.8%    0.0%   23.2%    0.0%      3     13      0.00       2
    23        58       58   74.1%    0.0%   25.9%    0.0%      3     10      0.00       2
    24        59       59   71.2%    0.0%   28.8%    0.0%      3      9      0.00       3
  S2 wall of height 3: arrived 24 of 24 (median 56 decisions) | step 76.3%  tumble 0.0%  idle 23.7%  blocked 0.0% | facing home 88.1% (p_move 0.76), away 2.9% (p_move 0.76) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 1039, 36 of them pointing away, patience fell to 0.729

S2 wall of height 6
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        59       59   83.1%    0.0%   16.9%    0.0%      6     18      0.00       2
     2        67       67   77.6%    0.0%   22.4%    0.0%      6     20      0.00       3
     3        63       63   81.0%    0.0%   19.0%    0.0%      6     16      0.00       2
     4        64       64   75.0%    0.0%   25.0%    0.0%      6     19      0.00       2
     5        63       63   77.8%    0.0%   22.2%    0.0%      6     17      0.00       3
     6        67       67   73.1%    0.0%   26.9%    0.0%      6     21      0.00       2
     7        74       74   79.7%    0.0%   20.3%    0.0%      6     30      0.00       3
     8        74       74   85.1%    0.0%   14.9%    0.0%      6     35      0.00       2
     9        79       79   74.7%    0.0%   25.3%    0.0%      6     30      0.00       3
    10        67       67   76.1%    0.0%   23.9%    0.0%      6     19      0.00       2
    11        58       58   84.5%    0.0%   15.5%    0.0%      6     16      0.00       2
    12        59       59   83.1%    0.0%   16.9%    0.0%      6     18      0.00       2
    13        60       60   80.0%    0.0%   20.0%    0.0%      6     16      0.00       2
    14        99       99   70.7%    0.0%   29.3%    0.0%      6     44      0.00       7
    15        79       79   72.2%    0.0%   27.8%    0.0%      6     39      0.00       3
    16        63       63   77.8%    0.0%   22.2%    0.0%      6     15      0.00       3
    17        76       76   64.5%    0.0%   35.5%    0.0%      6     25      0.00       3
    18        57       57   86.0%    0.0%   14.0%    0.0%      6     19      0.00       2
    19        84       84   71.4%    0.0%   28.6%    0.0%      6     39      0.00       3
    20        72       72   70.8%    0.0%   29.2%    0.0%      6     26      0.00       2
    21        75       75   66.7%    0.0%   33.3%    0.0%      6     20      0.00       5
    22        67       67   76.1%    0.0%   23.9%    0.0%      6     24      0.00       2
    23        63       63   76.2%    0.0%   23.8%    0.0%      6     17      0.00       2
    24        75       75   66.7%    0.0%   33.3%    0.0%      6     19      0.00       3
  S2 wall of height 6: arrived 24 of 24 (median 67 decisions) | step 75.7%  tumble 0.0%  idle 24.3%  blocked 0.0% | facing home 72.2% (p_move 0.76), away 3.1% (p_move 0.76) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 1260, 140 of them pointing away, patience fell to 0.065

S2 wall of height 12
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        97       97   82.5%    0.0%   17.5%    0.0%     12     54      0.00       2
     2       106      106   74.5%    0.0%   25.5%    0.0%     12     58      0.00       3
     3       103      103   76.7%    0.0%   23.3%    0.0%     12     54      0.00       2
     4        79       79   77.2%    0.0%   22.8%    0.0%     12     37      0.00       2
     5        80       80   77.5%    0.0%   22.5%    0.0%     12     38      0.00       3
     6        81       81   75.3%    0.0%   24.7%    0.0%     12     39      0.00       2
     7        90       90   80.0%    0.0%   20.0%    0.0%     12     45      0.00       3
     8       105      105   81.9%    0.0%   18.1%    0.0%     12     62      0.00       2
     9        96       96   76.0%    0.0%   24.0%    0.0%     12     51      0.00       3
    10        82       82   78.0%    0.0%   22.0%    0.0%     12     35      0.00       2
    11        75       75   82.7%    0.0%   17.3%    0.0%     12     33      0.00       2
    12        74       74   83.8%    0.0%   16.2%    0.0%     12     34      0.00       2
    13        72       72   83.3%    0.0%   16.7%    0.0%     12     31      0.00       2
    14       118      118   68.6%    0.0%   31.4%    0.0%     12     60      0.00       7
    15        87       87   71.3%    0.0%   28.7%    0.0%     12     48      0.00       3
    16        81       81   75.3%    0.0%   24.7%    0.0%     12     30      0.00       3
    17        92       92   66.3%    0.0%   33.7%    0.0%     12     44      0.00       3
    18        71       71   85.9%    0.0%   14.1%    0.0%     12     32      0.00       2
    19       103      103   72.8%    0.0%   27.2%    0.0%     12     59      0.00       3
    20        91       91   68.1%    0.0%   31.9%    0.0%     12     41      0.00       2
    21        91       91   65.9%    0.0%   34.1%    0.0%     12     37      0.00       5
    22        79       79   75.9%    0.0%   24.1%    0.0%     12     35      0.00       2
    23        76       76   78.9%    0.0%   21.1%    0.0%     12     31      0.00       2
    24       130      130   71.5%    0.0%   28.5%    0.0%     12     85      0.00       3
  S2 wall of height 12: arrived 24 of 24 (median 90 decisions) | step 75.8%  tumble 0.0%  idle 24.2%  blocked 0.0% | facing home 56.5% (p_move 0.76), away 2.9% (p_move 0.76) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 1637, 327 of them pointing away, patience fell to 0.023
