scenes: scene=s1 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=trail

S1 home 40 east (facing home)
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     2        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     3        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     4        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
     5        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     6        56       56   69.6%    0.0%   30.4%    0.0%      0      0         -       2
     7        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       3
     8        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     9        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
    10        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       2
    11        45       45   86.7%    0.0%   13.3%    0.0%      0      0         -       2
    12        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       1
    13        48       48   81.2%    0.0%   18.8%    0.0%      0      0         -       2
    14        57       57   68.4%    0.0%   31.6%    0.0%      0      0         -       7
    15        57       57   68.4%    0.0%   31.6%    0.0%      0      0         -       3
    16        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
    17        60       60   65.0%    0.0%   35.0%    0.0%      0      0         -       3
    18        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
    19        55       55   70.9%    0.0%   29.1%    0.0%      0      0         -       3
    20        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    21        61       61   63.9%    0.0%   36.1%    0.0%      0      0         -       5
    22        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       2
    23        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    24        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       3
  S1 home 40 east (facing home): arrived 24 of 24 (median 51 decisions) | step 76.2%  tumble 0.0%  idle 23.8%  blocked 0.0% | facing home 100.0% (p_move 0.76), away 0.0% (p_move NaN) | re-roll fired 0, 0 of them pointing away | longest stand-still 7 decisions | chooser stepped 936, 0 of them pointing away, patience fell to 1.000

S1 home 40 west (facing away)
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        46       46   84.8%    0.0%   15.2%    0.0%      0      0         -       2
     2        65       65   63.1%    0.0%   36.9%    0.0%      0      0         -       6
     3        49       49   83.7%    0.0%   16.3%    0.0%      0      0         -       2
     4        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
     5        66       66   59.1%    0.0%   40.9%    0.0%      0      0         -      16
     6        64       64   60.9%    0.0%   39.1%    0.0%      0      0         -      12
     7        52       52   75.0%    0.0%   25.0%    0.0%      0      0         -       3
     8        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       2
     9        55       55   70.9%    0.0%   29.1%    0.0%      0      0         -       6
    10        63       63   65.1%    0.0%   34.9%    0.0%      0      0         -       8
    11        47       47   83.0%    0.0%   17.0%    0.0%      0      0         -       3
    12        50       50   78.0%    0.0%   22.0%    0.0%      0      0         -       3
    13        51       51   76.5%    0.0%   23.5%    0.0%      0      0         -       4
    14        59       59   66.1%    0.0%   33.9%    0.0%      0      0         -       7
    15        68       68   60.3%    0.0%   39.7%    0.0%      0      0         -       8
    16        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       8
    17        62       62   62.9%    0.0%   37.1%    0.0%      0      0         -       3
    18        56       56   69.6%    0.0%   30.4%    0.0%      0      0         -      10
    19        55       55   70.9%    0.0%   29.1%    0.0%      0      0         -       3
    20        55       55   70.9%    0.0%   29.1%    0.0%      0      0         -       3
    21        65       65   60.0%    0.0%   40.0%    0.0%      0      0         -       5
    22        57       57   68.4%    0.0%   31.6%    0.0%      0      0         -       6
    23        54       54   72.2%    0.0%   27.8%    0.0%      0      0         -       2
    24        53       53   73.6%    0.0%   26.4%    0.0%      0      0         -       3
  S1 home 40 west (facing away): arrived 24 of 24 (median 55 decisions) | step 70.1%  tumble 0.0%  idle 29.9%  blocked 0.0% | facing home 88.9% (p_move 0.76), away 11.1% (p_move 0.20) | re-roll fired 0, 0 of them pointing away | longest stand-still 16 decisions | chooser stepped 944, 4 of them pointing away, patience fell to 0.810
