scenes: scene=s4 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=trail

S4: an empty ant at a fork, trail B down one branch (12000 frames; prediction in this file's header)
  seed decisions        first    main   level      up    along B  longest still
     1      2000     Level@35   66.5%   26.7%    6.8%          -         9 Main
     2      2000       Up@137   65.8%   19.2%   15.1%          -         9 Main
     3      2000        Up@28   50.5%   18.9%   30.6%          -        17 Level
     4      2000     Level@28   64.7%   17.9%   17.4%          -        10 Main
     5      2000     Level@25   72.5%   11.9%   15.6%          -         8 Level
     6      2000     Level@25   56.6%   22.0%   21.4%          -        12 Main
     7      2000        Up@41   63.1%   25.6%   11.2%          -        10 Main
     8      2000     Level@30   53.0%   40.5%    6.5%          -        10 Level
     9      2000     Level@31   49.2%   29.4%   21.4%          -         8 Main
    10      2000     Level@39   61.8%   33.2%    5.0%          -         8 Main
    11      2000     Level@31   77.8%   11.9%   10.3%          -        11 Main
    12      2000     Level@32   44.2%   52.1%    3.6%          -        10 Level
    13      2000     Level@34   41.5%   44.0%   14.4%          -        10 Main
    14      2000     Level@26   41.4%   40.9%   17.8%          -         8 Main
    15      2000     Level@38   44.2%   40.7%   15.1%          -         8 Main
    16      2000        Up@39   77.3%    0.0%   22.7%          -        12 Up
    17      2000        Up@35   48.5%   42.4%    9.2%          -         9 Level
    18      2000     Level@41   61.5%   27.4%   11.2%          -        11 Main
    19      2000        Up@30   69.5%   18.3%   12.2%          -         9 Main
    20      2000    Level@213   45.7%   40.8%   13.6%          -         8 Main
    21      2000     Level@36   44.1%   40.3%   15.6%          -         9 Level
    22      2000        Up@37   51.1%   25.9%   22.9%          -        10 Main
    23      2000     Level@35   72.9%    8.4%   18.7%          -        11 Main
    24      2000     Level@38   59.3%   30.6%   10.1%          -         9 Main
  S4 trail=none: first branch level 17 / up 7 / neither 0 (median decision 35) | time main 57.6%  level 27.9%  up 14.5% | trail-B reading on the trailed branch - | longest stand-still median 10, max 17; runs standing 100+ decisions on a branch 0
  seed decisions        first    main   level      up    along B  longest still
     1      2000     Level@35   34.7%   53.3%   12.0%    -0.0748         9 Level
     2      2000       Up@137   35.5%   47.2%   17.3%    -0.0816         9 Level
     3      2000     Level@28   51.0%   35.5%   13.4%    -0.0809        17 Level
     4      2000     Level@28   47.8%   42.6%    9.6%    -0.0936        10 Main
     5      2000     Level@25   55.5%   36.7%    7.8%    -0.1018         8 Level
     6      2000     Level@25   53.4%   26.6%   20.0%    -0.0928        12 Up
     7      2000     Level@41   60.6%   31.4%    8.0%    -0.0894        10 Main
     8      2000     Level@30   45.0%   33.9%   21.1%    -0.0830        10 Level
     9      2000     Level@31   50.3%   35.9%   13.8%    -0.0712         8 Main
    10      2000     Level@39   55.8%   36.2%    8.0%    -0.0821         8 Main
    11      2000     Level@31   63.9%   28.0%    8.1%    -0.0768        11 Main
    12      2000     Level@32   25.4%   45.0%   29.6%    -0.0717        10 Up
    13      2000     Level@34   45.6%   44.6%    9.8%    -0.1006        10 Level
    14      2000     Level@26   49.9%   42.1%    8.0%    -0.0928         8 Level
    15      2000     Level@38   50.2%   40.4%    9.4%    -0.0760         8 Main
    16      2000     Level@39   28.4%   55.8%   15.9%    -0.0869        12 Level
    17      2000        Up@35   45.6%   44.8%    9.7%    -0.0698         9 Main
    18      2000     Level@41   64.2%   29.3%    6.5%    -0.0948        11 Main
    19      2000     Level@29   69.0%   25.9%    5.0%    -0.0935         9 Main
    20      2000    Level@213   48.7%   36.6%   14.7%    -0.1134         8 Up
    21      2000     Level@36   55.2%   44.8%    0.0%    -0.0863         9 Main
    22      2000     Level@34   46.0%   46.4%    7.7%    -0.1049        10 Level
    23      2000     Level@35   31.1%   56.4%   12.6%    -0.0826        11 Main
    24      2000     Level@38   30.9%   42.6%   26.4%    -0.0861         9 Main
  S4 trail=level: first branch level 22 / up 2 / neither 0 (median decision 35) | time main 47.7%  level 40.1%  up 12.3% | trail-B reading on the trailed branch -0.0866 over 19231 decisions | longest stand-still median 10, max 17; runs standing 100+ decisions on a branch 0
  seed decisions        first    main   level      up    along B  longest still
     1      2000     Level@35   47.2%   26.5%   26.2%    -0.8578         9 Main
     2      2000       Up@137   83.9%    0.7%   15.4%    -0.8574         9 Main
     3      2000        Up@28   60.1%   15.8%   24.1%    -0.8649        17 Main
     4      2000     Level@28   44.2%   38.6%   17.1%    -0.8546        10 Main
