creature space: 400 random genomes + 2 references, 8 seeds x 18000 frames each
scene: scarce food (2 trees), 52 ants, 4 beetles, generated terrain

genome      survival  travelled   commute   feeding   depth
zero           0.300        0.0     0.000     0.000    -1.0
authored       0.504       45.4     0.041     0.779    -3.7
r000           0.284        8.9     0.009     0.327    -0.9
r001           0.284        0.0     0.000     0.000    -1.0
r002           0.220       59.5     0.350     0.000    -2.2
r003           0.280        2.5     0.000     0.024    -1.3
r004           0.284        0.0     0.000     0.000    -1.0
r005           0.315        0.0     0.000     0.365    -1.0
r006           0.287       13.2     0.941     0.000    -1.4
r007           0.279       21.4     0.899     0.000    -1.5
r008           0.294        0.0     0.000     0.000    -1.0
r009           0.414       11.4     0.007     0.406    -2.6
r010           0.285        0.0     0.000     0.000    -1.0
r011           0.113       43.4     0.068     0.000    -3.3
r012           0.297        0.0     0.000     0.096    -1.0
r013           0.295        0.0     0.000     0.000    -1.0
r014           0.292        0.0     0.000     0.000    -1.0
r015           0.270       38.5     0.088     0.555    -3.8
r016           0.279        0.0     0.000     0.000    -1.0
r017           0.476       30.1     0.875     0.582    -1.8
r018           0.275       10.4     0.017     0.339    -1.2
r019           0.283        0.0     0.000     0.000    -1.0
r020           0.296        0.0     0.000     0.000    -1.0
r021           0.301        0.0     0.000     0.046    -1.0
r022           0.278       23.3     0.916     0.000    -1.6
r023           0.291        0.0     0.000     0.000    -1.0
r024           0.285        0.0     0.000     0.000    -1.0
r025           0.161       28.0     0.061     0.000    -3.1
r026           0.274       10.2     0.717     0.000    -1.1
r027           0.259       10.5     0.163     0.000    -1.9
r028           0.294        0.0     0.000     0.000    -1.0
r029           0.541       10.3     0.140     0.553    -2.7
r030           0.212       21.9     0.063     0.639    -2.1
r031           0.298       51.2     0.039     0.728    -4.1
r032           0.294        0.0     0.000     0.000    -1.0
r033           0.212       23.2     0.067     0.000    -1.4
r034           0.321        0.0     0.000     0.365    -1.0
r035           0.291        0.0     0.000     0.000    -1.0
r036           0.431        3.5     0.000     0.392    -1.2
r037           0.320        0.0     0.000     0.365    -1.0
r038           0.292        0.0     0.000     0.000    -1.0
r039           0.285        0.0     0.000     0.000    -1.0
r040           0.286        0.0     0.000     0.000    -1.0
r041           0.294        0.0     0.000     0.000    -1.0
r042           0.286        6.6     0.000     0.000    -1.5
r043           0.298        0.0     0.000     0.000    -1.0
r044           0.286        4.2     0.000     0.000    -1.2
r045           0.295        0.0     0.000     0.000    -1.0
r046           0.290        0.0     0.000     0.000    -1.0
r047           0.196       41.6     0.143     0.000    -2.9
r048           0.235       14.5     0.077     0.000    -2.3
r049           0.308        0.0     0.000     0.361    -1.0
r050           0.291        0.0     0.000     0.000    -1.0
r051           0.144       35.3     0.062     0.000    -2.9
r052           0.309        0.0     0.000     0.337    -1.0
r053           0.303       12.2     0.628     0.464    -1.4
r054           0.247       13.1     0.088     0.000    -1.4
r055           0.166       39.0     0.060     0.644    -2.2
r056           0.293        0.0     0.000     0.000    -1.0
r057           0.283        6.6     0.000     0.000    -1.6
r058           0.294        0.0     0.000     0.000    -1.0
r059           0.447        0.0     0.000     0.370    -1.0
r060           0.291        0.0     0.000     0.000    -1.0
r061           0.281        0.0     0.000     0.000    -1.0
r062           0.212       17.3     0.060     0.000    -2.8
r063           0.266        7.7     0.007     0.000    -0.8
r064           0.285        0.0     0.000     0.000    -1.0
r065           0.292        0.0     0.000     0.000    -1.0
r066           0.297        0.0     0.000     0.000    -1.0
