#preset	counter	p90	max	runs
arid	awake_chunks	6	7	16
arid	bedrock_floor	2153	2156	16
arid	brows	153	203	16
arid	life_scatter	0	0	16
arid	moisture_init	0	0	16
arid	pockets	2276	2300	16
arid	ponds	0	0	16
arid	soil_blanket	7120	7306	16
arid	soil_moisture	0	0	16
arid	stone_massif	101794	102034	16
arid	talus	182	212	16
canyon	awake_chunks	7	9	16
canyon	bedrock_floor	2434	2473	16
canyon	brows	2749	2818	16
canyon	life_scatter	10	11	16
canyon	moisture_init	794	843	16
canyon	pockets	2005	2060	16
canyon	ponds	0	122	16
canyon	soil_blanket	3575	4051	16
canyon	soil_moisture	0	164	16
canyon	stone_massif	89479	94627	16
canyon	talus	1621	1676	16
flat	awake_chunks	6	8	16
flat	bedrock_floor	2153	2156	16
flat	brows	0	0	16
flat	life_scatter	0	0	16
flat	moisture_init	0	0	16
flat	pockets	0	0	16
flat	ponds	0	0	16
flat	soil_blanket	51	53	16
flat	soil_moisture	0	0	16
flat	stone_massif	59558	59590	16
flat	talus	0	0	16
rolling	awake_chunks	5	9	16
rolling	bedrock_floor	2153	2156	16
rolling	brows	1081	1190	16
rolling	life_scatter	15	18	16
rolling	moisture_init	1485	1506	16
rolling	pockets	1676	2071	16
rolling	ponds	7639	8880	16
rolling	soil_blanket	8765	9158	16
rolling	soil_moisture	2154	4337	16
rolling	stone_massif	89338	96565	16
rolling	talus	840	1057	16
terraced	awake_chunks	7	7	16
terraced	bedrock_floor	2153	2156	16
terraced	brows	746	873	16
terraced	life_scatter	21	26	16
terraced	moisture_init	1458	1495	16
terraced	pockets	1523	2023	16
terraced	ponds	3093	3462	16
terraced	soil_blanket	7302	7725	16
terraced	soil_moisture	2456	2651	16
terraced	stone_massif	91911	96245	16
terraced	talus	719	804	16
wetland	awake_chunks	6	10	16
wetland	bedrock_floor	1882	1891	16
wetland	brows	109	131	16
wetland	life_scatter	50	57	16
wetland	moisture_init	1649	1658	16
wetland	pockets	1084	1309	16
wetland	ponds	4283	7909	16
wetland	soil_blanket	14888	15020	16
wetland	soil_moisture	9572	9587	16
wetland	stone_massif	86484	87166	16
wetland	talus	141	171	16
